epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2414.99,0.53108,0.62949,0.3519,0.92347,0.90156,0.8112,0.96299,0.82551,0.90018,0.80972,0.96059,0.83067,0.57095,0.97352,0.69179,0.93384,0.000476186,0.000476186,0.000476186
2,4811.36,0.53578,0.63304,0.35492,0.9259,0.95811,0.94583,0.98842,0.87593,0.95735,0.94509,0.98798,0.87139,0.49352,0.72973,0.45937,0.9119,0.00085822,0.00085822,0.00085822
3,7206.3,0.50535,0.60322,0.33377,0.91107,0.99389,0.97448,0.9893,0.88674,0.99314,0.97374,0.98902,0.87701,0.47841,0.59107,0.37151,0.88584,0.00114594,0.00114594,0.00114594
4,9604.8,0.46595,0.57157,0.29803,0.88425,0.99707,0.9951,0.99495,0.90871,0.99596,0.99399,0.99463,0.89245,0.42132,0.58652,0.26061,0.85782,0.00100459,0.00100459,0.00100459
5,11997.1,0.441,0.55547,0.28079,0.87407,0.99737,0.99724,0.99491,0.90854,0.99659,0.99568,0.99447,0.88696,0.42681,0.62423,0.27528,0.85506,0.000863116,0.000863116,0.000863116
6,14389.7,0.41497,0.5374,0.26028,0.86282,0.99887,0.99874,0.995,0.92187,0.99812,0.998,0.99487,0.89418,0.37562,0.55829,0.22691,0.83797,0.000721645,0.000721645,0.000721645
7,16781.8,0.39084,0.53259,0.23647,0.85516,0.99919,0.99292,0.995,0.92296,0.99659,0.99033,0.9935,0.88937,0.37323,0.59004,0.23831,0.84259,0.000580174,0.000580174,0.000580174
8,19173.2,0.37366,0.51943,0.22252,0.84316,0.98216,0.96497,0.98816,0.91536,0.98026,0.96313,0.98774,0.88772,0.38712,0.65186,0.30258,0.84034,0.000438703,0.000438703,0.000438703
9,21565,0.35371,0.51061,0.20672,0.8395,0.98014,0.97251,0.99286,0.9256,0.97828,0.97066,0.99212,0.89429,0.3638,0.5971,0.26246,0.83291,0.000297232,0.000297232,0.000297232
10,23956.6,0.33605,0.49563,0.19366,0.83276,0.98955,0.99104,0.99487,0.92769,0.98881,0.9903,0.99468,0.89671,0.35431,0.55292,0.20531,0.83256,0.000155761,0.000155761,0.000155761
